iter	MultiClass
0	1.03891468
1	0.9859373382
2	0.9376060699
3	0.8924992061
4	0.8580624908
5	0.8160695993
6	0.78494468
7	0.7563280089
8	0.7256490792
9	0.6998432719
10	0.6720069303
11	0.6487736998
12	0.62519473
13	0.5981808891
14	0.5780105225
15	0.5572852476
16	0.5385977875
17	0.5226267768
18	0.507414708
19	0.4917155831
20	0.4766650435
21	0.4658244521
22	0.4521293464
23	0.4397171233
24	0.426857866
25	0.4169034565
26	0.4038347592
27	0.3930166346
28	0.3817142426
29	0.371549925
30	0.3604060812
31	0.3519798851
32	0.3416036473
33	0.3343350009
34	0.325343155
35	0.3181408036
36	0.31088865
37	0.3022781895
38	0.2962088549
39	0.2894298122
40	0.2829280208
41	0.2761373147
42	0.2695264764
43	0.2638091643
44	0.2579841024
45	0.252865989
46	0.2474329974
47	0.2419910412
48	0.2377921054
49	0.2330766729
50	0.2283963878
51	0.2245721449
52	0.2204935052
53	0.2179581807
54	0.2140511196
55	0.2104084224
56	0.2077429459
57	0.2041068439
58	0.2002506215
59	0.1974308849
60	0.1937680817
61	0.1908403363
62	0.187339607
63	0.1834982255
64	0.1805802239
65	0.1780763223
66	0.1756622656
67	0.1730393698
68	0.1710924237
69	0.1680835668
70	0.1655872027
71	0.1627308801
72	0.1600340291
73	0.1583511273
74	0.1556846044
75	0.1534428219
76	0.1516626483
77	0.1487620881
78	0.1474023204
79	0.1453043497
80	0.1435815336
81	0.141322674
82	0.1388831124
83	0.1366725133
84	0.1346724998
85	0.1326884913
86	0.1314180379
87	0.1299053634
88	0.1282879547
89	0.126865026
90	0.1253345487
91	0.1237572914
92	0.1225896072
93	0.1215237377
94	0.1196616893
95	0.1183160571
96	0.1170605773
97	0.1158390592
98	0.114224082
99	0.1132469329
100	0.1120666766
101	0.1103370501
102	0.1093421535
103	0.1082708328
104	0.1070882799
105	0.1062800396
106	0.105388376
107	0.1041192974
108	0.1031374334
109	0.1017632492
110	0.1008389214
111	0.1000831129
112	0.09920866398
113	0.09829474624
114	0.09721092307
115	0.09628285958
116	0.0954418607
117	0.09436298665
118	0.09361203384
119	0.09274353617
120	0.09189321324
121	0.09116831587
122	0.09045632707
123	0.08949630035
124	0.08859729614
125	0.08780483704
126	0.08685389545
127	0.08602890386
128	0.08523403512
129	0.08454224131
130	0.08385630621
131	0.08332906014
132	0.08263600718
133	0.08185803304
134	0.08112186551
135	0.08043710257
136	0.07978750223
137	0.07911297304
138	0.07852768277
139	0.0779585415
140	0.07713972326
141	0.07640331437
142	0.07591899644
143	0.07529376891
144	0.07467718069
145	0.07398571166
146	0.07346055204
147	0.07273024764
148	0.07185817842
149	0.07128814405
150	0.07085194255
151	0.06994083174
152	0.06928840329
153	0.0689845139
154	0.06843712892
155	0.06793483507
156	0.06735213055
157	0.06676769457
158	0.06604501823
159	0.0654451547
160	0.06496278582
161	0.06445356036
162	0.06400787144
163	0.06354503163
164	0.06308288827
165	0.06257757022
166	0.06204599679
167	0.06152760116
168	0.06113407764
169	0.06076330482
170	0.06011499295
171	0.05959221138
172	0.05923306553
173	0.0585950884
174	0.05796495252
175	0.05761767852
176	0.05727604259
177	0.05682098877
178	0.0563908097
179	0.05584883867
180	0.05546161468
181	0.05508276659
182	0.05464813634
183	0.05428456959
184	0.0538497476
185	0.05352823828
186	0.05325647829
187	0.05282924786
188	0.05242806664
189	0.05214498771
190	0.05175800535
191	0.05143307056
192	0.05108591926
193	0.05076285806
194	0.05044320648
195	0.05007916527
196	0.04964922425
197	0.04922645153
198	0.04892516884
199	0.04863792639
