timestamp,client_ip,method,url,path,attack_type,body_len,body_entropy,special_char_count
2025-12-31T04:58:35.832970Z,127.0.0.1:43114,GET,http://192.168.122.170/dvwa/,/dvwa/,NORMAL,0,0.0,0
2025-12-31T04:58:51.025276Z,127.0.0.1:33854,GET,http://192.168.122.170/dvwa/instructions.php,/dvwa/instructions.php,NORMAL,0,0.0,0
2025-12-31T04:58:51.933124Z,127.0.0.1:33854,GET,http://192.168.122.170/dvwa/setup.php,/dvwa/setup.php,NORMAL,0,0.0,0
2025-12-31T04:58:54.142944Z,127.0.0.1:33854,GET,http://192.168.122.170/dvwa/vulnerabilities/brute/,/dvwa/vulnerabilities/brute/,NORMAL,0,0.0,0
2025-12-31T04:58:55.840927Z,127.0.0.1:33854,GET,http://192.168.122.170/dvwa/vulnerabilities/exec/,/dvwa/vulnerabilities/exec/,NORMAL,0,0.0,0
2025-12-31T04:59:00.435126Z,127.0.0.1:33854,POST,http://192.168.122.170/dvwa/vulnerabilities/exec/,/dvwa/vulnerabilities/exec/,COMMAND_INJECTION,24,3.522,1
2025-12-31T04:59:04.612733Z,127.0.0.1:33854,POST,http://192.168.122.170/dvwa/vulnerabilities/exec/,/dvwa/vulnerabilities/exec/,COMMAND_INJECTION,22,3.573,1
2025-12-31T05:01:30.481731Z,127.0.0.1:58170,POST,http://192.168.122.170/dvwa/vulnerabilities/exec/,/dvwa/vulnerabilities/exec/,COMMAND_INJECTION,22,3.573,1
2025-12-31T05:01:35.791013Z,127.0.0.1:58170,POST,http://192.168.122.170/dvwa/vulnerabilities/exec/,/dvwa/vulnerabilities/exec/,NORMAL,35,3.986,1
2025-12-31T05:01:38.367388Z,127.0.0.1:58170,POST,http://192.168.122.170/dvwa/vulnerabilities/exec/,/dvwa/vulnerabilities/exec/,COMMAND_INJECTION,22,3.573,1
2025-12-31T05:01:42.453435Z,127.0.0.1:58170,POST,http://192.168.122.170/dvwa/vulnerabilities/exec/,/dvwa/vulnerabilities/exec/,COMMAND_INJECTION,22,3.573,1
2025-12-31T05:01:46.504386Z,127.0.0.1:58170,POST,http://192.168.122.170/dvwa/vulnerabilities/exec/,/dvwa/vulnerabilities/exec/,COMMAND_INJECTION,22,3.573,1
2025-12-31T05:01:50.137819Z,127.0.0.1:58170,POST,http://192.168.122.170/dvwa/vulnerabilities/exec/,/dvwa/vulnerabilities/exec/,COMMAND_INJECTION,22,3.573,1
2025-12-31T05:01:56.338275Z,127.0.0.1:58170,POST,http://192.168.122.170/dvwa/vulnerabilities/exec/,/dvwa/vulnerabilities/exec/,COMMAND_INJECTION,22,3.573,1
2025-12-31T05:02:01.618395Z,127.0.0.1:58170,POST,http://192.168.122.170/dvwa/vulnerabilities/exec/,/dvwa/vulnerabilities/exec/,COMMAND_INJECTION,22,3.573,1
2025-12-31T05:02:04.962723Z,127.0.0.1:58170,POST,http://192.168.122.170/dvwa/vulnerabilities/exec/,/dvwa/vulnerabilities/exec/,COMMAND_INJECTION,22,3.573,1
2025-12-31T05:02:06.308515Z,127.0.0.1:58170,POST,http://192.168.122.170/dvwa/vulnerabilities/exec/,/dvwa/vulnerabilities/exec/,COMMAND_INJECTION,22,3.573,1
2025-12-31T05:02:07.155220Z,127.0.0.1:58170,POST,http://192.168.122.170/dvwa/vulnerabilities/exec/,/dvwa/vulnerabilities/exec/,COMMAND_INJECTION,22,3.573,1
2025-12-31T05:02:07.872367Z,127.0.0.1:58170,POST,http://192.168.122.170/dvwa/vulnerabilities/exec/,/dvwa/vulnerabilities/exec/,COMMAND_INJECTION,22,3.573,1
